doy,gpp_maespa,fracaPAR
01/08/2008 00:00:00,0,0
01/08/2008 00:30:00,0,0
01/08/2008 01:00:00,0,0
01/08/2008 01:30:00,0,0
01/08/2008 02:00:00,0,0
01/08/2008 02:30:00,0,0
01/08/2008 03:00:00,0,0
01/08/2008 03:30:00,0,0
01/08/2008 04:00:00,0,0
01/08/2008 04:30:00,0,0
01/08/2008 05:00:00,0,0
01/08/2008 05:30:00,0.2274,0.3798
01/08/2008 06:00:00,1.1287,0.3798
01/08/2008 06:30:00,2.4513,0.4098
01/08/2008 07:00:00,3.3184,0.4054
01/08/2008 07:30:00,3.8274,0.3816
01/08/2008 08:00:00,4.1581,0.3548
01/08/2008 08:30:00,4.4345,0.3293
01/08/2008 09:00:00,4.6653,0.3069
01/08/2008 09:30:00,4.836,0.288
01/08/2008 10:00:00,5.0127,0.2749
01/08/2008 10:30:00,5.1827,0.2689
01/08/2008 11:00:00,5.2796,0.2641
01/08/2008 11:30:00,5.303,0.2793
01/08/2008 12:00:00,5.3251,0.2698
01/08/2008 12:30:00,5.2881,0.264
01/08/2008 13:00:00,5.2366,0.2589
01/08/2008 13:30:00,5.1727,0.2579
01/08/2008 14:00:00,4.8046,0.2883
01/08/2008 14:30:00,4.8389,0.2731
01/08/2008 15:00:00,4.7096,0.2941
01/08/2008 15:30:00,4.6061,0.3239
01/08/2008 16:00:00,4.5419,0.3636
01/08/2008 16:30:00,4.4282,0.4148
01/08/2008 17:00:00,4.2928,0.4804
01/08/2008 17:30:00,4.1362,0.5672
01/08/2008 18:00:00,2.5125,0.3798
01/08/2008 18:30:00,1.6276,0.3798
01/08/2008 19:00:00,0,0
01/08/2008 19:30:00,0,0
01/08/2008 20:00:00,0,0
01/08/2008 20:30:00,0,0
01/08/2008 21:00:00,0,0
01/08/2008 21:30:00,0,0
01/08/2008 22:00:00,0,0
01/08/2008 22:30:00,0,0
01/08/2008 23:00:00,0,0
01/08/2008 23:30:00,0,0
02/08/2008 00:00:00,0,0
02/08/2008 00:30:00,0,0
02/08/2008 01:00:00,0,0
02/08/2008 01:30:00,0,0
02/08/2008 02:00:00,0,0
02/08/2008 02:30:00,0,0
02/08/2008 03:00:00,0,0
02/08/2008 03:30:00,0,0
02/08/2008 04:00:00,0,0
02/08/2008 04:30:00,0,0
02/08/2008 05:00:00,0,0
02/08/2008 05:30:00,0.2135,0.3798
02/08/2008 06:00:00,1.0881,0.3798
02/08/2008 06:30:00,2.4338,0.4103
02/08/2008 07:00:00,3.3734,0.4061
02/08/2008 07:30:00,3.9445,0.3822
02/08/2008 08:00:00,4.3507,0.3555
02/08/2008 08:30:00,4.6569,0.33
02/08/2008 09:00:00,4.864,0.3073
02/08/2008 09:30:00,5.0022,0.2886
02/08/2008 10:00:00,5.1172,0.2753
02/08/2008 10:30:00,5.2101,0.2713
02/08/2008 11:00:00,5.2558,0.2704
02/08/2008 11:30:00,5.2519,0.2612
02/08/2008 12:00:00,5.2289,0.2602
02/08/2008 12:30:00,5.1589,0.2597
02/08/2008 13:00:00,4.9714,0.2588
02/08/2008 13:30:00,4.8751,0.2579
02/08/2008 14:00:00,4.6642,0.2608
02/08/2008 14:30:00,4.5462,0.2737
02/08/2008 15:00:00,4.4664,0.2949
02/08/2008 15:30:00,4.3929,0.3249
02/08/2008 16:00:00,4.3193,0.3649
02/08/2008 16:30:00,4.233,0.4165
02/08/2008 17:00:00,4.1624,0.4826
02/08/2008 17:30:00,4.0286,0.5703
02/08/2008 18:00:00,2.5035,0.3798
02/08/2008 18:30:00,1.6353,0.3798
02/08/2008 19:00:00,0,0
02/08/2008 19:30:00,0,0
02/08/2008 20:00:00,0,0
02/08/2008 20:30:00,0,0
02/08/2008 21:00:00,0,0
02/08/2008 21:30:00,0,0
02/08/2008 22:00:00,0,0
02/08/2008 22:30:00,0,0
02/08/2008 23:00:00,0,0
02/08/2008 23:30:00,0,0
03/08/2008 00:00:00,0,0
03/08/2008 00:30:00,0,0
03/08/2008 01:00:00,0,0
03/08/2008 01:30:00,0,0
03/08/2008 02:00:00,0,0
03/08/2008 02:30:00,0,0
03/08/2008 03:00:00,0,0
03/08/2008 03:30:00,0,0
03/08/2008 04:00:00,0,0
03/08/2008 04:30:00,0,0
03/08/2008 05:00:00,0,0
03/08/2008 05:30:00,0.2009,0.3798
03/08/2008 06:00:00,1.0807,0.3798
03/08/2008 06:30:00,2.4275,0.4107
03/08/2008 07:00:00,3.3303,0.4069
03/08/2008 07:30:00,3.874,0.3829
03/08/2008 08:00:00,4.2199,0.3558
03/08/2008 08:30:00,4.4729,0.3302
03/08/2008 09:00:00,4.6854,0.3074
03/08/2008 09:30:00,4.8667,0.2882
03/08/2008 10:00:00,5.0449,0.2748
03/08/2008 10:30:00,5.1854,0.2685
03/08/2008 11:00:00,5.2693,0.2633
03/08/2008 11:30:00,5.3224,0.26
03/08/2008 12:00:00,5.3721,0.2601
03/08/2008 12:30:00,5.3714,0.2596
03/08/2008 13:00:00,5.3176,0.2588
03/08/2008 13:30:00,5.1911,0.2578
03/08/2008 14:00:00,5.0776,0.2612
03/08/2008 14:30:00,4.9701,0.2743
03/08/2008 15:00:00,4.8964,0.2957
03/08/2008 15:30:00,4.8225,0.326
03/08/2008 16:00:00,4.7446,0.3663
03/08/2008 16:30:00,4.6334,0.4183
03/08/2008 17:00:00,4.4893,0.4849
03/08/2008 17:30:00,4.2861,0.5736
03/08/2008 18:00:00,2.5862,0.3798
03/08/2008 18:30:00,1.6495,0.3798
03/08/2008 19:00:00,0,0
03/08/2008 19:30:00,0,0
03/08/2008 20:00:00,0,0
03/08/2008 20:30:00,0,0
03/08/2008 21:00:00,0,0
03/08/2008 21:30:00,0,0
03/08/2008 22:00:00,0,0
03/08/2008 22:30:00,0,0
03/08/2008 23:00:00,0,0
03/08/2008 23:30:00,0,0
04/08/2008 00:00:00,0,0
04/08/2008 00:30:00,0,0
04/08/2008 01:00:00,0,0
04/08/2008 01:30:00,0,0
04/08/2008 02:00:00,0,0
04/08/2008 02:30:00,0,0
04/08/2008 03:00:00,0,0
04/08/2008 03:30:00,0,0
04/08/2008 04:00:00,0,0
04/08/2008 04:30:00,0,0
04/08/2008 05:00:00,0,0
04/08/2008 05:30:00,0.1905,0.3798
04/08/2008 06:00:00,1.0092,0.3798
04/08/2008 06:30:00,2.2902,0.403
04/08/2008 07:00:00,3.1778,0.4053
04/08/2008 07:30:00,3.7379,0.3833
04/08/2008 08:00:00,4.1339,0.357
04/08/2008 08:30:00,4.4167,0.3316
04/08/2008 09:00:00,4.6418,0.3088
04/08/2008 09:30:00,4.8537,0.2898
04/08/2008 10:00:00,4.9921,0.2762
04/08/2008 10:30:00,5.1403,0.2699
04/08/2008 11:00:00,5.2488,0.2647
04/08/2008 11:30:00,5.3112,0.2603
04/08/2008 12:00:00,5.3442,0.26
04/08/2008 12:30:00,5.3257,0.2596
04/08/2008 13:00:00,5.2374,0.2587
04/08/2008 13:30:00,5.0988,0.2578
04/08/2008 14:00:00,4.9339,0.2615
04/08/2008 14:30:00,4.7809,0.2749
04/08/2008 15:00:00,4.7117,0.2966
04/08/2008 15:30:00,4.6176,0.3271
04/08/2008 16:00:00,4.5417,0.3677
04/08/2008 16:30:00,4.4378,0.4201
04/08/2008 17:00:00,4.3073,0.4872
04/08/2008 17:30:00,4.1023,0.577
04/08/2008 18:00:00,2.3974,0.3798
04/08/2008 18:30:00,1.53,0.3798
04/08/2008 19:00:00,0,0
04/08/2008 19:30:00,0,0
04/08/2008 20:00:00,0,0
04/08/2008 20:30:00,0,0
04/08/2008 21:00:00,0,0
04/08/2008 21:30:00,0,0
04/08/2008 22:00:00,0,0
04/08/2008 22:30:00,0,0
04/08/2008 23:00:00,0,0
04/08/2008 23:30:00,0,0
05/08/2008 00:00:00,0,0
05/08/2008 00:30:00,0,0
05/08/2008 01:00:00,0,0
05/08/2008 01:30:00,0,0
05/08/2008 02:00:00,0,0
05/08/2008 02:30:00,0,0
05/08/2008 03:00:00,0,0
05/08/2008 03:30:00,0,0
05/08/2008 04:00:00,0,0
05/08/2008 04:30:00,0,0
05/08/2008 05:00:00,0,0
05/08/2008 05:30:00,0.151,0.3798
05/08/2008 06:00:00,0.8543,0.3798
05/08/2008 06:30:00,2.1729,0.3973
05/08/2008 07:00:00,3.2318,0.405
05/08/2008 07:30:00,3.862,0.3838
05/08/2008 08:00:00,4.2923,0.358
05/08/2008 08:30:00,4.5907,0.3331
05/08/2008 09:00:00,4.8257,0.3099
05/08/2008 09:30:00,4.9734,0.2906
05/08/2008 10:00:00,5.0986,0.276
05/08/2008 10:30:00,5.2163,0.2658
05/08/2008 11:00:00,5.2762,0.2601
05/08/2008 11:30:00,5.2914,0.2795
05/08/2008 12:00:00,5.2746,0.2838
