Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: soil sensible heat flux                        W m-2
qe: soil latent heat flux                          W m-2
qn: soil net radiation                             W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0     2880.0002      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1     2879.9082      1379.9082         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0901         0.4000         1.0000       158.4680      -123.3139       -28.8705        -6.2816       407.8086       396.6371       493.7894        21.1293         0.4698        19.3400        15.8036        15.1888         0.3982         0.4000            NaN
      1      2     2879.8159      1379.8158         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0906         0.4000         1.0000       156.9259      -124.0878       -30.0336        -2.8025       404.8782       393.6389       498.1859        19.4588         0.4698        18.8300        15.5478        15.2388         0.3964         0.4000            NaN
      1      3     2879.7234      1379.7233         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0907         0.3999         1.0000       154.0136      -124.1763       -28.9937        -0.8432       404.8777       393.3736       495.8626        20.2338         0.4698        18.8600        15.3470        15.2271         0.3946         0.4000            NaN
      1      4     2879.6492      1379.6490         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0724         0.3999         1.0000       118.1858       -99.1723       -26.3115         7.2970       401.6323       390.5096       495.0468        22.8107         0.4698        18.2400        14.2895        14.9769         0.3931         0.4000            NaN
      1      5     2879.5757      1379.5756         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0717         0.3999         1.0000       124.0116       -98.3186       -30.1723         4.4787       397.7601       387.2227       489.2899        18.9542         0.4698        17.4800        14.4007        14.8594         0.3917         0.4000            NaN
      1      6     2879.4978      1379.4977         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0761         0.3999         1.0000       135.7233      -104.2846       -31.2131        -0.2248       399.4821       389.0211       490.4840        18.2482         0.4698        17.7800        14.8884        14.8982         0.3902         0.4000            NaN
      1      7     2879.4258      1379.4257         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0703         0.3999         1.0000       121.2451       -96.3123       -31.1380         6.2055       394.8015       384.3253       492.6984        17.6061         0.4698        16.9400        14.0978        14.7277         0.3888         0.4000            NaN
      1      8     2879.3542      1379.3542         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0696         0.3998         1.0000       120.6396       -95.3978       -30.9108         5.6680       394.4560       383.9593       487.6349        17.7609         0.4698        16.8800        13.9958        14.6019         0.3874         0.4000            NaN
      1      9     2879.2869      1379.2869         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0656         0.3998         1.0000       112.5603       -89.9869       -30.8910         8.3180       391.6696       381.2167       486.6370        17.4064         0.4698        16.3700        13.5265        14.4112         0.3861         0.4000            NaN
